epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,491.549,1.26193,0.69671,0.17481,1.00887,1.14485,0.85874,0.76667,0.85924,0.45366,0.9647,0.91115,0.98227,0.81102,1.74202,0.65598,0.09667,1.12237,1.54173,0.0005216,0.0005216,0.0005216
114,495.879,1.2579,0.64236,0.17387,1.02481,1.13159,0.8162,0.7,0.77145,0.42473,0.9043,0.94515,0.97408,0.80376,1.66056,0.66731,0.08391,1.11749,1.49369,0.0005084,0.0005084,0.0005084
115,500.226,1.21653,0.65438,0.16961,0.97172,1.10994,0.81217,0.86486,0.878,0.45856,0.85696,0.96667,0.97838,0.83269,1.56987,0.65635,0.07112,1.0615,1.44637,0.0004952,0.0004952,0.0004952
116,504.585,1.22262,0.72727,0.171,0.98188,1.13838,0.77334,0.8,0.83489,0.46293,0.8767,0.94825,0.98449,0.82145,1.56909,0.60009,0.07825,1.06556,1.47207,0.000482,0.000482,0.000482
117,508.898,1.23789,0.59557,0.1479,0.97205,1.11947,0.83106,0.76667,0.85754,0.44137,0.92933,0.96667,0.97981,0.82534,1.64233,0.59897,0.07693,1.08118,1.54663,0.0004688,0.0004688,0.0004688
118,513.235,1.2563,0.61787,0.17446,1.01477,1.13058,0.83104,0.82004,0.85905,0.43095,0.93514,0.9613,0.97477,0.8145,1.71344,0.60342,0.08018,1.06659,1.55836,0.0004556,0.0004556,0.0004556
119,517.598,1.2727,0.67863,0.16084,1.04868,1.14216,0.85989,0.81856,0.85272,0.45342,0.96599,0.94699,0.9816,0.84686,1.65506,0.5689,0.08656,1.04321,1.5213,0.0004424,0.0004424,0.0004424
120,521.899,1.23725,0.60412,0.17507,1.00253,1.14139,0.95601,0.72463,0.85696,0.44594,0.96488,0.91622,0.97955,0.83475,1.69306,0.61046,0.0771,1.03854,1.57211,0.0004292,0.0004292,0.0004292
121,526.192,1.24087,0.5848,0.14675,1.01069,1.11338,0.87053,0.8,0.84925,0.42963,1,0.93323,0.985,0.83567,1.70695,0.60015,0.07508,1.04167,1.52381,0.000416,0.000416,0.000416
122,530.576,1.18962,0.63132,0.15369,0.92866,1.107,0.84957,0.83333,0.89327,0.45851,1,0.98268,0.995,0.84713,1.66952,0.58408,0.08825,1.08079,1.49782,0.0004028,0.0004028,0.0004028
123,534.916,1.11677,0.51101,0.17928,0.91158,1.08887,0.91886,0.7553,0.8611,0.4708,0.90104,0.91073,0.9719,0.84819,1.69502,0.55805,0.09645,1.05805,1.4313,0.0003896,0.0003896,0.0003896
124,539.324,1.15348,0.55155,0.15421,0.91311,1.09627,0.86802,0.7,0.87586,0.46546,1,0.83135,0.96323,0.83591,1.67634,0.53884,0.11257,1.03069,1.44639,0.0003764,0.0003764,0.0003764
125,543.596,1.18011,0.53129,0.15563,0.94942,1.0983,0.88888,0.73333,0.86374,0.4527,0.90573,0.96091,0.97303,0.82286,1.69063,0.5885,0.10989,0.99808,1.44891,0.0003632,0.0003632,0.0003632
126,547.928,1.13927,0.54584,0.15862,0.89894,1.08201,0.91921,0.73333,0.86413,0.46002,0.87245,0.96667,0.97036,0.82758,1.69847,0.60981,0.11149,1.03131,1.4846,0.00035,0.00035,0.00035
127,552.238,1.1473,0.67375,0.15739,0.93105,1.09083,0.8511,0.7,0.81492,0.42707,0.98664,0.9,0.97382,0.83225,1.71846,0.60466,0.09956,1.05517,1.50832,0.0003368,0.0003368,0.0003368
128,556.594,1.11468,0.61311,0.1768,0.87545,1.10235,0.838,0.68998,0.82356,0.44708,1,0.89478,0.98599,0.86447,1.60377,0.55177,0.09353,1.00481,1.42152,0.0003236,0.0003236,0.0003236
129,560.871,1.1914,0.59659,0.16666,0.94933,1.10269,0.86972,0.73333,0.84252,0.45979,0.97746,0.9,0.98227,0.86295,1.65763,0.5146,0.08882,1.03778,1.45034,0.0003104,0.0003104,0.0003104
130,565.273,1.11002,0.5092,0.13365,0.87579,1.05824,0.89365,0.73333,0.83357,0.45707,0.97936,0.9,0.96902,0.84061,1.67052,0.51041,0.08663,1.05461,1.46206,0.0002972,0.0002972,0.0002972
131,569.667,1.17149,0.56967,0.14973,0.92737,1.06834,0.82762,0.7,0.79822,0.43459,0.98837,0.9,0.95282,0.81785,1.65279,0.52843,0.09798,1.05019,1.45191,0.000284,0.000284,0.000284
132,574.023,1.13779,0.55122,0.14841,0.93803,1.10118,0.89498,0.7,0.80859,0.41896,0.97175,0.86667,0.94094,0.80805,1.62016,0.53551,0.09343,1.04941,1.43853,0.0002708,0.0002708,0.0002708
133,578.335,1.11232,0.50387,0.1605,0.90581,1.0824,0.95759,0.75305,0.87413,0.42643,0.92662,0.84213,0.94444,0.80639,1.56945,0.55408,0.08879,1.04373,1.43227,0.0002576,0.0002576,0.0002576
134,582.701,1.09266,0.51265,0.13218,0.86172,1.05516,0.95814,0.8,0.88677,0.45309,0.94484,0.86667,0.94907,0.81152,1.55216,0.54032,0.09398,1.04665,1.43821,0.0002444,0.0002444,0.0002444
135,587.018,1.04131,0.51164,0.14241,0.83597,1.08229,0.82872,0.80656,0.89067,0.44786,0.95825,0.9,0.96298,0.8519,1.54005,0.49164,0.08558,0.9707,1.41179,0.0002312,0.0002312,0.0002312
136,591.354,1.09072,0.56778,0.13956,0.91719,1.07479,0.88434,0.76469,0.88915,0.46284,0.94821,0.86667,0.96488,0.82401,1.55459,0.55976,0.08262,1.00252,1.40691,0.000218,0.000218,0.000218
137,595.655,1.13815,0.52062,0.14938,0.90139,1.08953,0.84114,0.76667,0.86884,0.45514,0.92277,0.86667,0.96072,0.83574,1.55709,0.53376,0.08155,1.05471,1.41972,0.0002048,0.0002048,0.0002048
138,599.962,1.08284,0.4742,0.16143,0.85622,1.06341,0.79245,0.76667,0.85044,0.44456,0.92078,0.9,0.96873,0.81675,1.63584,0.56407,0.07916,1.07097,1.44894,0.0001916,0.0001916,0.0001916
139,604.289,1.10075,0.58131,0.14624,0.90463,1.06009,0.88699,0.73333,0.85621,0.45654,0.9314,0.9053,0.98065,0.84135,1.65831,0.56567,0.07532,1.05003,1.47436,0.0001784,0.0001784,0.0001784
140,608.679,1.12073,0.52403,0.15073,0.8845,1.06266,0.90684,0.73333,0.84533,0.4521,0.96427,0.89969,0.97884,0.82434,1.65343,0.54887,0.0777,1.02389,1.4549,0.0001652,0.0001652,0.0001652
141,621.191,0.98935,0.3156,0.05609,0.73248,1.03626,0.846,0.76667,0.85002,0.45565,0.93495,0.95837,0.9757,0.84212,1.64538,0.55594,0.07924,1.06505,1.43534,0.000152,0.000152,0.000152
142,625.483,0.91973,0.30354,0.03957,0.67564,1.01162,0.76856,0.8,0.82947,0.44451,0.9321,0.96667,0.97681,0.84042,1.66735,0.57334,0.07395,1.12128,1.43511,0.0001388,0.0001388,0.0001388
143,629.794,0.94758,0.29496,0.04155,0.65216,1.01084,0.93572,0.7,0.84554,0.44034,0.9186,0.93333,0.976,0.83246,1.6417,0.54886,0.06622,1.0787,1.41125,0.0001256,0.0001256,0.0001256
144,634.088,0.9268,0.29018,0.04317,0.6565,1.00287,0.83968,0.73333,0.83105,0.44284,0.87875,0.96634,0.97284,0.84558,1.59411,0.51485,0.06647,1.11523,1.40079,0.0001124,0.0001124,0.0001124
145,638.395,0.90776,0.31428,0.04085,0.63939,0.99378,0.80542,0.86667,0.85284,0.45184,0.86507,0.96667,0.97215,0.85272,1.58273,0.50537,0.06281,1.09376,1.40111,9.92e-05,9.92e-05,9.92e-05
146,642.742,0.91471,0.28664,0.04944,0.63225,0.99739,0.83173,0.83333,0.86399,0.45207,0.89369,0.93333,0.97492,0.86266,1.60034,0.50341,0.06075,1.09592,1.4041,8.6e-05,8.6e-05,8.6e-05
147,647.036,0.9136,0.29636,0.04807,0.64913,1.04231,0.88475,0.76772,0.86076,0.44952,0.92523,0.9,0.97312,0.85608,1.57687,0.52194,0.06142,1.07064,1.39781,7.28e-05,7.28e-05,7.28e-05
148,651.35,0.89426,0.27471,0.04965,0.62795,0.99855,0.87789,0.8,0.85507,0.45448,0.96383,0.8886,0.97156,0.85258,1.54968,0.52725,0.06202,1.04878,1.3852,5.96e-05,5.96e-05,5.96e-05
149,655.635,0.92112,0.27883,0.04408,0.63907,1.0184,0.8377,0.76667,0.8394,0.45178,0.91944,0.9,0.96828,0.8497,1.5323,0.52623,0.06108,1.03916,1.38248,4.64e-05,4.64e-05,4.64e-05
150,659.958,0.88926,0.29705,0.04489,0.63061,0.99049,0.84202,0.76667,0.83557,0.44667,0.96383,0.88862,0.96525,0.84534,1.53726,0.54168,0.05793,1.06765,1.39245,3.32e-05,3.32e-05,3.32e-05
