epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,118.514,1.99389,1.65982,0.36063,1.81431,1.60156,0.52945,0.5627,0.51493,0.19555,0.5916,0.72448,0.69077,0.44476,2.18787,1.27799,0.13598,1.90001,1.89936,0.0016568,0.0016568,0.0016568
28,122.887,1.94924,1.56898,0.35222,1.75924,1.5224,0.67443,0.41475,0.53964,0.1504,0.57015,0.75182,0.755,0.49313,2.0445,1.36735,0.13158,1.78093,1.84463,0.0016436,0.0016436,0.0016436
29,127.219,2.05975,1.76301,0.34995,1.79269,1.55252,0.54888,0.43333,0.48009,0.16871,0.63466,0.53333,0.58854,0.38457,2.16011,1.52423,0.14844,1.91629,1.94668,0.0016304,0.0016304,0.0016304
30,131.656,1.97374,1.61672,0.321,1.69222,1.5415,0.51663,0.28551,0.39819,0.12545,0.58717,0.46667,0.50974,0.28075,2.32179,2.11653,0.11342,3.16978,2.11201,0.0016172,0.0016172,0.0016172
31,136.078,1.98316,1.46024,0.35972,1.77477,1.54177,0.70848,0.4,0.5231,0.19355,0.77056,0.5,0.64121,0.46253,2.05086,1.35911,0.11568,2.05494,1.83078,0.001604,0.001604,0.001604
32,140.407,1.9522,1.58035,0.33183,1.72857,1.54508,0.59196,0.48391,0.5325,0.23935,0.66947,0.67536,0.71251,0.48237,1.97833,1.38143,0.12938,1.69038,1.76885,0.0015908,0.0015908,0.0015908
33,144.715,1.96436,1.68964,0.35794,1.78786,1.53273,0.70637,0.46667,0.55425,0.24034,0.8053,0.5519,0.68854,0.49514,1.89358,1.26006,0.13919,1.68264,1.8634,0.0015776,0.0015776,0.0015776
34,149.079,1.86393,1.53437,0.3,1.67266,1.50359,0.59546,0.5,0.49237,0.22659,0.66287,0.65567,0.67369,0.4919,2.10355,1.44639,0.12897,1.76449,1.97817,0.0015644,0.0015644,0.0015644
35,153.431,1.84244,1.52141,0.34234,1.67764,1.48828,0.504,0.63333,0.53395,0.19312,0.61923,0.8,0.75811,0.50511,2.07299,1.32435,0.12866,1.84758,1.94899,0.0015512,0.0015512,0.0015512
36,157.695,1.89589,1.34842,0.32203,1.69933,1.5296,0.6255,0.6,0.59524,0.19769,0.77491,0.73333,0.78703,0.5238,1.9848,1.37149,0.13109,2.06632,1.89689,0.001538,0.001538,0.001538
